,argument,ph,lof,svm
0,"('spectral', 23)",0.9988888888888889,0.9880246913580246,0.9611111111111111
1,"('spectral', 20)",0.9983950617283951,0.9880246913580246,0.9611111111111111
2,"('spectral', 35)",0.9981481481481482,0.9880246913580246,0.9611111111111111
3,"('spectral', 26)",0.9980246913580247,0.9880246913580246,0.9611111111111111
4,"('spectral', 33)",0.9979012345679013,0.9880246913580246,0.9611111111111111
5,"('spectral', 38)",0.9971604938271605,0.9880246913580246,0.9611111111111111
6,"('spectral', 16)",0.9971604938271604,0.9880246913580246,0.9611111111111111
7,"('spectral', 21)",0.9970370370370372,0.9880246913580246,0.9611111111111111
8,"('spectral', 22)",0.9968518518518519,0.9880246913580246,0.9611111111111111
9,"('spectral', 25)",0.9968518518518519,0.9880246913580246,0.9611111111111111
10,"('spectral', 37)",0.9965432098765432,0.9880246913580246,0.9611111111111111
11,"('spectral', 18)",0.9965432098765431,0.9880246913580246,0.9611111111111111
12,"('spectral', 28)",0.9963580246913581,0.9880246913580246,0.9611111111111111
13,"('spectral', 36)",0.996358024691358,0.9880246913580246,0.9611111111111111
14,"('spectral', 27)",0.9962962962962963,0.9880246913580246,0.9611111111111111
15,"('spectral', 29)",0.9962345679012347,0.9880246913580246,0.9611111111111111
16,"('spectral', 17)",0.9962345679012345,0.9880246913580246,0.9611111111111111
17,"('spectral', 24)",0.9955555555555555,0.9880246913580246,0.9611111111111111
18,"('spectral', 31)",0.9953703703703703,0.9880246913580246,0.9611111111111111
19,"('spectral', 32)",0.9946913580246914,0.9880246913580246,0.9611111111111111
20,"('spectral', 30)",0.9941975308641976,0.9880246913580246,0.9611111111111111
21,"('spectral', 19)",0.9917901234567901,0.9880246913580246,0.9611111111111111
22,"('spectral', 34)",0.9909876543209877,0.9880246913580246,0.9611111111111111
23,"('spectral', 15)",0.9896296296296296,0.9880246913580246,0.9611111111111111
24,"('spectral', 14)",0.9881481481481482,0.9880246913580246,0.9611111111111111
25,"('spectral', 13)",0.9800000000000001,0.9880246913580246,0.9611111111111111
26,"('spectral', 9)",0.9776543209876544,0.9880246913580246,0.9611111111111111
27,"('spectral', 11)",0.9657407407407408,0.9880246913580246,0.9611111111111111
28,"('spectral', 10)",0.9609876543209876,0.9880246913580246,0.9611111111111111
29,"('spectral', 8)",0.9546296296296296,0.9880246913580246,0.9611111111111111
30,"('spectral', 12)",0.6624691358024691,0.9880246913580246,0.9611111111111111
