,argument,ph,lof,svm
99,"('hierarchical', 22, 'complete')",0.58,0.96,1.0
100,"('hierarchical', 8, 'single')",0.54,0.96,1.0
101,"('hierarchical', 18, 'single')",0.495,0.96,1.0
102,"('hierarchical', 19, 'single')",0.495,0.96,1.0
103,"('hierarchical', 20, 'single')",0.495,0.96,1.0
104,"('hierarchical', 21, 'single')",0.45,0.96,1.0
105,"('hierarchical', 22, 'single')",0.45,0.96,1.0
106,"('hierarchical', 23, 'single')",0.45,0.96,1.0
107,"('hierarchical', 24, 'single')",0.45,0.96,1.0
108,"('hierarchical', 25, 'single')",0.45,0.96,1.0
109,"('hierarchical', 26, 'single')",0.45,0.96,1.0
110,"('hierarchical', 27, 'single')",0.45,0.96,1.0
111,"('hierarchical', 28, 'single')",0.45,0.96,1.0
112,"('hierarchical', 29, 'single')",0.45,0.96,1.0
113,"('hierarchical', 30, 'single')",0.45,0.96,1.0
114,"('hierarchical', 31, 'single')",0.45,0.96,1.0
115,"('hierarchical', 32, 'single')",0.45,0.96,1.0
116,"('hierarchical', 33, 'single')",0.45,0.96,1.0
117,"('hierarchical', 34, 'single')",0.45,0.96,1.0
118,"('hierarchical', 35, 'single')",0.45,0.96,1.0
119,"('hierarchical', 36, 'single')",0.45,0.96,1.0
120,"('hierarchical', 37, 'single')",0.45,0.96,1.0
121,"('hierarchical', 38, 'single')",0.45,0.96,1.0
122,"('hierarchical', 9, 'single')",0.44499999999999995,0.96,1.0
123,"('hierarchical', 10, 'single')",0.30499999999999994,0.96,1.0
