,argument,ph,lof,svm
0,"('kmeans', 14)",0.9779555555555555,0.9777777777777777,1.0
1,"('kmeans', 19)",0.9704888888888888,0.9777777777777777,1.0
2,"('kmeans', 12)",0.9690666666666666,0.9777777777777777,1.0
3,"('kmeans', 11)",0.9596444444444445,0.9777777777777777,1.0
4,"('kmeans', 15)",0.9473777777777778,0.9777777777777777,1.0
5,"('kmeans', 10)",0.943288888888889,0.9777777777777777,1.0
6,"('kmeans', 31)",0.9425777777777777,0.9777777777777777,1.0
7,"('kmeans', 21)",0.9379555555555555,0.9777777777777777,1.0
8,"('kmeans', 22)",0.9333333333333333,0.9777777777777777,1.0
9,"('kmeans', 16)",0.9281777777777778,0.9777777777777777,1.0
10,"('kmeans', 17)",0.9230222222222221,0.9777777777777777,1.0
11,"('kmeans', 35)",0.9216888888888889,0.9777777777777777,1.0
12,"('kmeans', 23)",0.9195555555555556,0.9777777777777777,1.0
13,"('kmeans', 37)",0.917688888888889,0.9777777777777777,1.0
14,"('kmeans', 8)",0.9152000000000001,0.9777777777777777,1.0
15,"('kmeans', 30)",0.9107555555555555,0.9777777777777777,1.0
16,"('kmeans', 34)",0.9029333333333334,0.9777777777777777,1.0
17,"('kmeans', 24)",0.8980444444444444,0.9777777777777777,1.0
18,"('kmeans', 38)",0.8974222222222222,0.9777777777777777,1.0
19,"('kmeans', 33)",0.8953777777777778,0.9777777777777777,1.0
20,"('kmeans', 27)",0.8929777777777778,0.9777777777777777,1.0
21,"('kmeans', 20)",0.8922666666666667,0.9777777777777777,1.0
22,"('kmeans', 26)",0.8922666666666667,0.9777777777777777,1.0
23,"('kmeans', 13)",0.8906666666666666,0.9777777777777777,1.0
24,"('kmeans', 36)",0.889688888888889,0.9777777777777777,1.0
25,"('kmeans', 29)",0.8870222222222222,0.9777777777777777,1.0
26,"('kmeans', 32)",0.8853333333333333,0.9777777777777777,1.0
27,"('kmeans', 18)",0.8842666666666666,0.9777777777777777,1.0
28,"('kmeans', 28)",0.8813333333333334,0.9777777777777777,1.0
29,"('kmeans', 25)",0.8620444444444445,0.9777777777777777,1.0
30,"('kmeans', 9)",0.8463999999999998,0.9777777777777777,1.0
